bias,positive,negative,sentiment
1.0,3020.0,61.0,1.0
1.0,3573.0,444.0,1.0
1.0,3005.0,115.0,1.0
1.0,2862.0,4.0,1.0
1.0,3119.0,225.0,1.0
1.0,2955.0,119.0,1.0
1.0,3934.0,538.0,1.0
1.0,3162.0,276.0,1.0
1.0,628.0,189.0,1.0
1.0,264.0,112.0,1.0
1.0,3015.0,55.0,1.0
1.0,3678.0,716.0,1.0
1.0,319.0,245.0,1.0
1.0,3072.0,204.0,1.0
1.0,3296.0,261.0,1.0
1.0,1017.0,241.0,1.0
1.0,3084.0,292.0,1.0
1.0,1158.0,249.0,1.0
1.0,3003.0,30.0,1.0
1.0,3457.0,540.0,1.0
1.0,3429.0,343.0,1.0
1.0,2961.0,115.0,1.0
1.0,3006.0,124.0,1.0
1.0,3444.0,445.0,1.0
1.0,2890.0,57.0,1.0
1.0,1047.0,94.0,1.0
1.0,3688.0,972.0,1.0
1.0,3262.0,414.0,1.0
1.0,3096.0,124.0,1.0
1.0,546.0,31.0,1.0
1.0,2888.0,124.0,1.0
1.0,2915.0,86.0,1.0
1.0,2883.0,24.0,1.0
1.0,4603.0,697.0,1.0
1.0,630.0,79.0,1.0
1.0,319.0,245.0,1.0
1.0,3024.0,79.0,1.0
1.0,654.0,128.0,1.0
1.0,808.0,172.0,1.0
1.0,972.0,566.0,1.0
1.0,846.0,179.0,1.0
1.0,764.0,168.0,1.0
1.0,3587.0,120.0,1.0
1.0,44.0,23.0,1.0
1.0,6327.0,338.0,1.0
1.0,1077.0,201.0,1.0
1.0,3406.0,549.0,1.0
1.0,2882.0,42.0,1.0
1.0,3026.0,79.0,1.0
1.0,870.0,289.0,1.0
1.0,3063.0,242.0,1.0
1.0,3020.0,61.0,1.0
1.0,3094.0,289.0,1.0
1.0,740.0,173.0,1.0
1.0,2986.0,77.0,1.0
1.0,2865.0,10.0,1.0
1.0,3236.0,290.0,1.0
1.0,3103.0,172.0,1.0
1.0,6137.0,526.0,1.0
1.0,499.0,0.0,1.0
1.0,2865.0,12.0,1.0
1.0,319.0,245.0,1.0
1.0,595.0,165.0,1.0
1.0,3207.0,134.0,1.0
1.0,3047.0,391.0,1.0
1.0,2855.0,4.0,1.0
1.0,2901.0,7.0,1.0
1.0,3745.0,436.0,1.0
1.0,3130.0,306.0,1.0
